Id,Time
0,1.144868
1,11.101447
2,0.392724
3,1.389718
4,2.374581
5,6.996121
6,3.128494
7,0.498573
8,11.147688
9,0.430127
10,4.687055
11,12.349975
12,0.814305
13,32.815323
14,0.388748
15,0.643249
16,0.717497
17,9.211910
18,3.338814
19,1.399892
20,0.331596
21,0.380091
22,0.512037
23,0.700866
24,1.326348
25,1.793240
26,1.219156
27,3.113217
28,2.037263
29,2.887469
30,19.573639
31,3.161097
32,0.546728
33,6.268338
34,6.921787
35,0.681345
36,4.179072
37,1.945215
38,0.761008
39,1.659889
40,4.245262
41,10.033756
42,1.465056
43,5.591154
44,0.797763
45,2.610079
46,4.341535
47,0.955912
48,7.512221
49,0.749889
50,0.147756
51,20.439573
52,0.138091
53,7.650987
54,28.052311
55,0.215350
56,1.164830
57,0.880010
58,0.686719
59,0.593567
60,1.109839
61,6.410174
62,0.426238
63,10.369056
64,2.906438
65,10.620581
66,1.211304
67,0.590979
68,9.942762
69,1.359744
70,0.244704
71,0.685107
72,11.509862
73,0.318058
74,7.956344
75,4.553637
76,1.245860
77,4.070614
78,4.804442
79,1.498347
80,7.461273
81,4.976773
82,7.356299
83,0.918611
84,0.940099
85,3.851394
86,5.492016
87,0.508093
88,6.767700
89,0.976143
90,2.926959
91,1.170688
92,1.355969
93,12.746549
94,7.993291
95,3.058885
96,33.303070
97,0.266463
98,0.959335
99,0.107676
